,rsp_id,country,departamento,municipio,neighborhood,rural_urban,rsp_sex,rsp_age,hh_size,remittances_yn,remesa_efectivo_uso_pct/2,exp_6months_currency,exp_6months_health,avg_income_currency,avg_income_amount,exp_6months_health_USD
2283,2715,SLV,1184,15566,Palo pique,1,1,61,2,0,,1,20.0,1.0,150.0,20.0
2284,2714,SLV,1184,15566,Palo pique,1,1,63,3,0,,1,20.0,1.0,150.0,20.0
2285,2713,SLV,1184,15566,Palo pique,1,1,60,6,0,,1,5.0,1.0,100.0,5.0
2286,2712,SLV,1184,15566,Palo pique,1,1,18,6,1,,1,50.0,,,50.0
2287,2711,SLV,1184,15566,Palo pique,1,2,39,4,0,,1,75.0,,,75.0
2288,2710,SLV,1184,15566,Canton palo pique caserio san fransisco,1,2,52,6,0,,1,36.0,,,36.0
2289,2709,SLV,1184,15566,Canton Palo pique,1,1,29,6,0,,1,0.0,,,0.0
2290,2708,SLV,1184,15566,"Palo pique, caserio san francisco",1,2,62,2,0,,1,100.0,1.0,350.0,100.0
2291,2707,SLV,1184,15566,"Palo pique, cacerio san francisco",1,1,36,4,0,,1,30.0,1.0,60.0,30.0
2292,2706,SLV,1184,15566,Palo pique,1,1,27,4,0,,1,10.0,,,10.0
2293,2705,SLV,1184,15566,Palo Pique ,1,1,26,5,0,,1,200.0,1.0,100.0,200.0
2294,2704,SLV,1184,15566,SAN FRANCISCO LOS TOLES,1,1,62,4,0,,1,20.0,1.0,120.0,20.0
2295,2703,SLV,1184,15566,Palo Pique,1,1,32,6,0,,1,40.0,1.0,80.0,40.0
2296,2702,SLV,1184,15573,Palo pique,1,1,31,5,0,,1,0.0,1.0,120.0,0.0
2297,2701,SLV,1184,15573,Palo pique,1,1,63,3,0,,1,70.0,,,70.0
2298,2700,SLV,1184,15573,Palo pique,1,1,22,3,0,,1,100.0,,,100.0
2299,2699,SLV,1184,15573,Los toles,1,1,20,2,0,,1,50.0,1.0,20.0,50.0
2300,2698,SLV,1184,15566,CANTON PALOPIQUE ,1,1,20,3,0,,1,10.0,1.0,70.0,10.0
2301,2697,SLV,1184,15566,CANTO PALOPIQUE ,1,2,67,6,0,,1,400.0,1.0,285.0,400.0
2302,2696,SLV,1184,15566,CANTON PALOTIQUE,1,1,42,2,1,,1,0.0,1.0,150.0,0.0
2303,2695,SLV,1184,15566,CANTON PALOTIQUE,1,1,37,3,0,,1,40.0,1.0,140.0,40.0
2309,2689,SLV,1184,15568,Los paniagua,1,1,56,4,0,,1,300.0,,,300.0
2310,2688,SLV,1184,15568,Izcaquilio paniagua ,1,2,24,4,0,,1,0.0,1.0,1064.0,0.0
2311,2687,SLV,1184,15568, canton san juan san esteban,1,1,65,5,0,,1,45.0,1.0,100.0,45.0
2312,2686,SLV,1184,15568,"Izcaquilio, Comunidad Los Paniagua",1,1,72,6,0,,1,0.0,1.0,75.0,0.0
2313,2685,SLV,1184,15568,"Izcaquilio, Comunidad Los Paniagua",1,1,36,4,0,,1,40.0,1.0,300.0,40.0
2314,2684,SLV,1184,15568,"La Hermosa, canton San Juan",1,2,49,1,0,,1,250.0,1.0,200.0,250.0
2327,2671,SLV,1184,15566,Santa Cruz ,1,2,40,4,0,,1,0.0,1.0,300.0,0.0
2328,2670,SLV,1184,15566,Santa Cruz ,1,2,30,4,0,,1,0.0,1.0,30.0,0.0
2329,2669,SLV,1184,15566,Santa Cruz ,1,1,40,4,0,,1,0.0,,,0.0
2330,2668,SLV,1184,15566,CANTON santa cruz ,1,1,71,3,0,,1,24.0,,,24.0
2331,2667,SLV,1184,15566,Santa Cruz ,1,1,55,8,0,,1,0.0,,,0.0
2332,2666,SLV,1184,15566, Canton santa cruz,1,1,88,3,1,,1,60.0,1.0,90.0,60.0
2333,2665,SLV,1184,15566,Canton Santa cruz caserio el desvio,1,1,57,2,1,,1,44.0,1.0,150.0,44.0
2334,2664,SLV,1184,15566,Canton Santa Cruz ,1,1,47,10,1,50.0,1,300.0,1.0,300.0,300.0
2335,2663,SLV,1184,15566, Canton santa cruz,1,2,67,4,0,,1,60.0,1.0,150.0,60.0
2336,2662,SLV,1184,15566,Cantan Santa Cruz ,1,2,58,4,1,,1,400.0,1.0,400.0,400.0
