,rsp_id,country,departamento,municipio,neighborhood,rural_urban,rsp_sex,rsp_age,hh_size,remittances_yn,remesa_efectivo_uso_pct/2,exp_6months_currency,exp_6months_health,avg_income_currency,avg_income_amount,exp_6months_health_USD
2785,2213,HND,901726,1021441,Barrio el Tamarindo,2,1,59,3,0,,2,266.5,2.0,410.0,10.9265
2786,2212,HND,901726,1021441,Barrio el Tamarindo ,2,1,62,3,1,30.0,2,246.0,,,10.086
2787,2211,HND,901726,1021453,Caserio san jose ,1,2,52,1,0,,2,28.7,,,1.1767
2788,2210,HND,901726,1021453,Caserio san jose,1,1,41,1,0,,2,41.0,,,1.681
2789,2209,HND,901726,1021453,Caserio san jose,1,2,47,2,0,,2,53.3,,,2.1853
2790,2208,HND,901726,1021453,Caserio san jose ,1,1,42,3,0,,2,0.0,,,0.0
2791,2207,HND,901726,1021453,Caser_o san jose ,1,1,30,4,0,,2,0.0,,,0.0
2792,2206,HND,901742,1021724,El Palmar,1,1,42,4,0,,2,73.8,2.0,492.0,3.0258
2809,2189,HND,901726,1021445,El Guanigiquil,1,2,54,7,0,,2,41.0,2.0,41.0,1.681
2814,2184,HND,901726,1021445,El Guanigiquil,1,1,43,6,0,,2,0.0,2.0,164.0,0.0
2821,2177,HND,901726,1021445,El Guanigiquil,1,1,36,6,0,,2,205.0,2.0,82.0,8.405000000000001
2822,2176,HND,901726,1021445,El Guanigiquil,1,2,45,4,0,,2,61.5,2.0,143.5,2.5215
2823,2175,HND,901726,1021445,El Guanigiquil,1,1,30,4,1,50.0,2,205.0,2.0,41.0,8.405000000000001
2837,2161,HND,901726,1021442,Barrio las arenas ,2,2,44,2,0,,2,205.0,2.0,328.0,8.405000000000001
2887,2111,HND,901742,1021721,Guangolola N2,1,2,47,5,0,,2,82.0,2.0,205.0,3.362
2888,2110,HND,901742,1021721,Guangolola N2,1,1,43,9,0,,2,0.0,2.0,82.0,0.0
2889,2109,HND,901742,1021721,Guangolola N2,1,1,71,12,0,,2,73.8,,,3.0258
2890,2108,HND,901742,1021721,Las Palmas,2,1,25,3,0,,2,82.0,2.0,205.0,3.362
2891,2107,HND,901742,1021721,El Lim_n,1,2,85,3,1,,2,492.0,2.0,246.0,20.172
2892,2106,HND,901742,1021721,El Lim_n,1,1,59,5,0,,2,328.0,2.0,328.0,13.448
2893,2105,HND,901742,1021721,Guangolola N2,1,1,48,13,1,,2,1230.0,2.0,205.0,50.43
2894,2104,HND,901742,1021721,Guangolola N2,1,1,36,5,0,,2,328.0,2.0,246.0,13.448
2895,2103,HND,901742,1021721,Guangolola N2,1,1,72,5,1,,2,0.0,,,0.0
2896,2102,HND,901742,1021721,B_ Abajo,2,2,37,3,0,,2,0.0,2.0,287.0,0.0
2897,2101,HND,901742,1021721,La Meseta,2,1,45,4,1,,2,2050.0,2.0,205.0,84.05
2898,2100,HND,901742,1021721,La Meseta,2,1,43,6,0,,2,82.0,2.0,246.0,3.362
2899,2099,HND,901742,1021721,Primero de Mayo,2,2,29,7,1,,2,6519.0,2.0,225.5,267.279
2900,2098,HND,901742,1021721,Guangolola N2,1,1,39,5,0,,2,0.0,,,0.0
2977,2021,HND,901742,1021728,Victoria ,2,1,52,8,99,,2,0.0,,,0.0
2978,2020,HND,901742,1021728,Victoria,1,1,28,3,0,,2,0.0,,,0.0
2979,2019,HND,901742,1021728,Victoria ,2,1,75,6,1,50.0,2,205.0,,,8.405000000000001
2980,2018,HND,901742,1021728,Victoria ,2,1,32,4,0,,2,41.0,,,1.681
2981,2017,HND,901742,1021728,Victoria ,1,1,42,4,1,,2,8.2,,,0.3362
