,rsp_id,country,hh_size,remittances_yn,remesa_efectivo_uso_pct/2,exp_6months_health_USD,govt_ngo_help,health_top_priority
659,4339,SLV,5,1,75.0,500.0,0,0
660,4338,SLV,8,1,,3000.0,0,0
661,4337,SLV,4,1,,60.0,0,1
662,4336,SLV,3,0,,100.0,0,1
663,4335,SLV,3,1,,25.0,0,0
664,4334,SLV,4,0,,30.0,0,0
666,4332,SLV,5,0,,200.0,0,0
669,4329,SLV,6,0,,45.0,0,0
673,4325,SLV,7,1,,120.0,0,0
674,4324,SLV,3,0,,1000.0,0,0
676,4322,SLV,3,0,,30.0,0,0
677,4321,SLV,4,1,,300.0,0,0
678,4320,SLV,5,0,,400.0,0,1
679,4319,SLV,3,0,,300.0,0,0
681,4317,SLV,4,0,,300.0,0,1
682,4316,SLV,4,1,100.0,200.0,0,0
683,4315,SLV,4,1,50.0,600.0,0,1
684,4314,SLV,6,0,,500.0,0,1
686,4312,SLV,8,1,,75.0,0,0
687,4311,SLV,8,0,,36.0,0,1
688,4310,SLV,4,1,,35.0,0,0
689,4309,SLV,3,0,,20.0,0,0
690,4308,SLV,5,0,,21.0,0,0
691,4307,SLV,3,0,,45.0,0,1
692,4306,SLV,4,0,,400.0,0,1
693,4305,SLV,4,1,,60.0,0,0
697,4301,SLV,2,0,,75.0,0,1
698,4300,SLV,8,0,,500.0,0,0
699,4299,SLV,7,0,,20.0,0,0
700,4298,SLV,3,1,20.0,200.0,0,0
701,4297,SLV,5,1,25.0,200.0,0,0
702,4296,SLV,3,1,25.0,400.0,0,0
703,4295,SLV,4,1,25.0,500.0,0,0
710,4288,SLV,4,1,,150.0,0,0
712,4286,SLV,5,0,,10.0,0,0
713,4285,SLV,6,0,,10.0,0,0
714,4284,SLV,3,0,,15.0,0,0
715,4283,SLV,2,0,,4.0,0,0
716,4282,SLV,3,0,,12.0,0,1
717,4281,SLV,4,1,60.0,300.0,0,1
719,4279,SLV,10,1,,100.0,0,0
720,4278,SLV,4,0,,200.0,0,0
721,4277,SLV,6,0,,500.0,1,0
722,4276,SLV,4,1,,200.0,0,1
724,4274,SLV,4,1,,60.0,0,0
726,4272,SLV,5,1,,600.0,0,0
727,4271,SLV,2,0,,250.0,0,0
728,4270,SLV,5,1,,300.0,0,0
739,4259,SLV,2,1,,200.0,0,0
740,4258,SLV,5,0,,100.0,0,0
741,4257,SLV,2,1,45.0,600.0,0,0
742,4256,SLV,4,1,,300.0,0,0
745,4253,SLV,4,1,10.0,400.0,0,0
746,4252,SLV,4,0,,30.0,0,0
750,4248,SLV,5,0,,10.0,0,0
751,4247,SLV,8,0,,200.0,0,0
752,4246,SLV,8,1,,5.0,0,0
754,4244,SLV,8,0,,200.0,0,0
758,4240,SLV,10,1,,300.0,0,0
759,4239,SLV,9,1,,250.0,0,0
760,4238,SLV,5,1,,100.0,0,0
762,4236,SLV,2,1,,2000.0,0,0
768,4230,SLV,4,0,,600.0,0,0
769,4229,SLV,5,1,,200.0,0,0
770,4228,SLV,4,0,,500.0,0,1
772,4226,SLV,6,1,20.0,50.0,0,0
773,4225,SLV,5,0,,50.0,0,0
774,4224,SLV,5,0,,25.0,0,0
775,4223,SLV,3,1,,400.0,0,1
776,4222,SLV,4,0,,72.0,0,1
777,4221,SLV,4,0,,45.0,0,0
778,4220,SLV,6,0,,400.0,0,0
779,4219,SLV,3,1,,40.0,0,0
780,4218,SLV,5,1,10.0,50.0,0,0
783,4215,SLV,3,1,,150.0,0,0
784,4214,SLV,5,0,,100.0,0,0
785,4213,SLV,4,1,,40.0,0,0
786,4212,SLV,2,1,50.0,600.0,0,0
788,4210,SLV,6,1,20.0,50.0,0,0
789,4209,SLV,6,0,,350.0,0,0
790,4208,SLV,5,0,,228.0,0,0
791,4207,SLV,3,1,100.0,2000.0,0,0
792,4206,SLV,3,0,,1000.0,0,0
794,4204,SLV,6,1,,100.0,0,0
796,4202,SLV,7,0,,100.0,0,1
797,4201,SLV,3,1,75.0,25.0,0,0
970,4028,SLV,4,1,50.0,186.0,0,0
971,4027,SLV,3,1,,400.0,0,0
972,4026,SLV,1,0,,5.0,0,1
985,4013,SLV,3,1,50.0,100.0,0,0
986,4012,SLV,6,1,,25.0,0,0
987,4011,SLV,4,1,,50.0,0,0
990,4008,SLV,2,1,80.0,300.0,0,1
1017,3981,SLV,4,1,30.0,0.5043000000000001,0,1
1020,3978,SLV,4,0,,25.0,0,0
1021,3977,SLV,4,1,,200.0,0,0
1023,3975,SLV,5,0,,1000.0,0,0
1024,3974,SLV,4,0,,100.0,0,0
1025,3973,SLV,4,0,,60.0,0,0
1028,3970,SLV,4,0,,80.0,0,0
1029,3969,SLV,3,0,,100.0,0,1
1065,3933,SLV,4,1,,30.0,1,0
1066,3932,SLV,2,1,30.0,530.0,0,0
1067,3931,SLV,4,1,10.0,70.0,1,1
1068,3930,SLV,2,0,,100.0,0,0
1069,3929,SLV,1,1,,500.0,0,0
1071,3927,SLV,2,0,,20.0,0,0
1072,3926,SLV,3,1,,5000.0,0,0
1073,3925,SLV,5,0,,150.0,0,1
1074,3924,SLV,3,1,,20.0,0,1
1075,3923,SLV,2,1,,20.0,0,1
1076,3922,SLV,1,1,,60.0,0,1
1077,3921,SLV,4,1,20.0,250.0,0,1
1078,3920,SLV,3,1,20.0,50.0,0,0
1079,3919,SLV,0,0,,300.0,0,0
1080,3918,SLV,2,1,50.0,240.0,0,0
1081,3917,SLV,4,1,10.0,190.0,0,0
1083,3915,SLV,4,1,,460.0,0,1
1084,3914,SLV,4,1,25.0,350.0,1,0
1085,3913,SLV,2,1,,500.0,1,1
1086,3912,SLV,5,0,,500.0,0,0
1087,3911,SLV,6,0,,500.0,0,1
1088,3910,SLV,4,1,100.0,500.0,0,1
1089,3909,SLV,3,0,,10.0,0,0
1091,3907,SLV,3,1,,30.0,0,0
1093,3905,SLV,6,1,,300.0,0,0
